tournaments.RoundRobinTournament,,,,,,,,
AIs,,,,,,,,
,MINS_Bot,,,,,,,
,IliasAI(AStarPathFinding),,,,,,,
,Miguel_MINS_Bot,,,,,,,
,ShayAI(AStarPathFinding),,,,,,,
,mayari,,,,,,,
,WorkerRush(AStarPathFinding),,,,,,,
,LightRush(AStarPathFinding),,,,,,,
,HeavyRush(AStarPathFinding),,,,,,,
,RangedRush(AStarPathFinding),,,,,,,
maps,,,,,,,,
,C:\Users\Matthew\Documents\school\Software Tools (CS 3560)\group project\MicroRTS\maps\16x16\basesWorkers16x16.xml,,,,,,,
iterations,1,,,,,,,
maxGameLength,3000,,,,,,,
timeBudget,30,,,,,,,
iterationsBudget,-1,,,,,,,
pregameAnalysisBudget,1000,1000,,,,,,
preAnalysis,TRUE,,,,,,,
fullObservability,TRUE,,,,,,,
timeoutCheck,TRUE,,,,,,,
runGC,FALSE,,,,,,,
iteration,map,ai1,ai2,time,winner,crashed,timedout,
0,0,LightRush(AStarPathFinding),RangedRush(AStarPathFinding),1140,0,-1,-1,
0,0,HeavyRush(AStarPathFinding),Matthew - MINS_Bot,881,1,-1,-1,
0,0,HeavyRush(AStarPathFinding),IliasAI(AStarPathFinding),2235,1,-1,-1,
0,0,HeavyRush(AStarPathFinding),Miguel_MINS_Bot,948,0,-1,-1,
0,0,HeavyRush(AStarPathFinding),ShayAI(AStarPathFinding),966,0,-1,-1,
0,0,HeavyRush(AStarPathFinding),mayari,2215,1,-1,-1,
0,0,HeavyRush(AStarPathFinding),WorkerRush(AStarPathFinding),370,1,-1,-1,
0,0,HeavyRush(AStarPathFinding),LightRush(AStarPathFinding),2044,0,-1,-1,
0,0,HeavyRush(AStarPathFinding),RangedRush(AStarPathFinding),2292,0,-1,-1,
0,0,RangedRush(AStarPathFinding),Matthew - MINS_Bot,1452,1,-1,-1,
0,0,RangedRush(AStarPathFinding),IliasAI(AStarPathFinding),1966,1,-1,-1,
0,0,RangedRush(AStarPathFinding),Miguel_MINS_Bot,675,0,-1,-1,
0,0,RangedRush(AStarPathFinding),ShayAI(AStarPathFinding),745,0,-1,-1,
0,0,RangedRush(AStarPathFinding),mayari,2016,1,-1,-1,
0,0,RangedRush(AStarPathFinding),WorkerRush(AStarPathFinding),370,1,-1,-1,
0,0,RangedRush(AStarPathFinding),LightRush(AStarPathFinding),977,1,-1,-1,
0,0,RangedRush(AStarPathFinding),HeavyRush(AStarPathFinding),1572,1,-1,-1,
